DATE_KEY,REF,AGE,ACCOUNT,TYPE,INFLOW,OUTFLOW,OA,SA,MA,RA,LOANS,EXCESS,MESSAGE
2037-12-31,100000613,63,oa,inflow,219.04,0.0,22399.54000000005,22399.54000000005,22399.54000000005,22399.54000000005,22399.54000000005,22399.54000000005,oa-Allocation for oa at age 63-219.04
2037-12-31,100000614,63,ma,inflow,2299.92,0.0,342335.7700000004,342335.7700000004,342335.7700000004,342335.7700000004,342335.7700000004,342335.7700000004,ma-Allocation for ma at age 63-2299.92
2037-12-31,100000615,63,ra,inflow,219.04,0.0,132177.59999999942,132177.59999999942,132177.59999999942,132177.59999999942,132177.59999999942,132177.59999999942,ra-Allocation for ra at age 63-219.04
2037-12-31,100000616,63,oa,inflow,74.67,0.0,22474.21000000005,22474.21000000005,22474.21000000005,22474.21000000005,22474.21000000005,22474.21000000005,oa-Interest for ra at age 63-74.67
2037-12-31,100000617,63,ma,inflow,1141.12,0.0,343476.8900000004,343476.8900000004,343476.8900000004,343476.8900000004,343476.8900000004,343476.8900000004,ma-Interest for ra at age 63-1141.12
2037-12-31,100000618,63,ra,inflow,440.59,0.0,132618.18999999942,132618.18999999942,132618.18999999942,132618.18999999942,132618.18999999942,132618.18999999942,ra-Interest for ra at age 63-440.59
2037-12-31,100000619,63,ra,inflow,50.0,0.0,132668.18999999942,132668.18999999942,132668.18999999942,132668.18999999942,132668.18999999942,132668.18999999942,ra-Extra Interest for ra at age 63-50.00
2038-01-31,100000620,63,oa,inflow,219.04,0.0,22693.25000000005,22693.25000000005,22693.25000000005,22693.25000000005,22693.25000000005,22693.25000000005,oa-Allocation for oa at age 63-219.04
2038-01-31,100000621,63,ma,inflow,2299.92,0.0,345776.8100000004,345776.8100000004,345776.8100000004,345776.8100000004,345776.8100000004,345776.8100000004,ma-Allocation for ma at age 63-2299.92
2038-01-31,100000622,63,ra,inflow,219.04,0.0,132887.22999999943,132887.22999999943,132887.22999999943,132887.22999999943,132887.22999999943,132887.22999999943,ra-Allocation for ra at age 63-219.04
2038-02-28,100000623,63,oa,inflow,219.04,0.0,22912.29000000005,22912.29000000005,22912.29000000005,22912.29000000005,22912.29000000005,22912.29000000005,oa-Allocation for oa at age 63-219.04
2038-02-28,100000624,63,ma,inflow,2299.92,0.0,348076.7300000004,348076.7300000004,348076.7300000004,348076.7300000004,348076.7300000004,348076.7300000004,ma-Allocation for ma at age 63-2299.92
2038-02-28,100000625,63,ra,inflow,219.04,0.0,133106.26999999944,133106.26999999944,133106.26999999944,133106.26999999944,133106.26999999944,133106.26999999944,ra-Allocation for ra at age 63-219.04
2038-03-31,100000626,63,oa,inflow,219.04,0.0,23131.330000000053,23131.330000000053,23131.330000000053,23131.330000000053,23131.330000000053,23131.330000000053,oa-Allocation for oa at age 63-219.04
2038-03-31,100000627,63,ma,inflow,2299.92,0.0,350376.6500000004,350376.6500000004,350376.6500000004,350376.6500000004,350376.6500000004,350376.6500000004,ma-Allocation for ma at age 63-2299.92
2038-03-31,100000628,63,ra,inflow,219.04,0.0,133325.30999999944,133325.30999999944,133325.30999999944,133325.30999999944,133325.30999999944,133325.30999999944,ra-Allocation for ra at age 63-219.04
2038-04-30,100000629,63,oa,inflow,219.04,0.0,23350.370000000054,23350.370000000054,23350.370000000054,23350.370000000054,23350.370000000054,23350.370000000054,oa-Allocation for oa at age 63-219.04
2038-04-30,100000630,63,ma,inflow,2299.92,0.0,352676.57000000036,352676.57000000036,352676.57000000036,352676.57000000036,352676.57000000036,352676.57000000036,ma-Allocation for ma at age 63-2299.92
2038-04-30,100000631,63,ra,inflow,219.04,0.0,133544.34999999945,133544.34999999945,133544.34999999945,133544.34999999945,133544.34999999945,133544.34999999945,ra-Allocation for ra at age 63-219.04
2038-05-31,100000632,63,oa,inflow,219.04,0.0,23569.410000000054,23569.410000000054,23569.410000000054,23569.410000000054,23569.410000000054,23569.410000000054,oa-Allocation for oa at age 63-219.04
2038-05-31,100000633,63,ma,inflow,2299.92,0.0,354976.49000000034,354976.49000000034,354976.49000000034,354976.49000000034,354976.49000000034,354976.49000000034,ma-Allocation for ma at age 63-2299.92
2038-05-31,100000634,63,ra,inflow,219.04,0.0,133763.38999999946,133763.38999999946,133763.38999999946,133763.38999999946,133763.38999999946,133763.38999999946,ra-Allocation for ra at age 63-219.04
2038-06-30,100000635,63,oa,inflow,219.04,0.0,23788.450000000055,23788.450000000055,23788.450000000055,23788.450000000055,23788.450000000055,23788.450000000055,oa-Allocation for oa at age 63-219.04
2038-06-30,100000636,63,ma,inflow,2299.92,0.0,357276.4100000003,357276.4100000003,357276.4100000003,357276.4100000003,357276.4100000003,357276.4100000003,ma-Allocation for ma at age 63-2299.92
2038-06-30,100000637,63,ra,inflow,219.04,0.0,133982.42999999947,133982.42999999947,133982.42999999947,133982.42999999947,133982.42999999947,133982.42999999947,ra-Allocation for ra at age 63-219.04
2038-07-31,100000638,64,oa,inflow,219.04,0.0,24007.490000000056,24007.490000000056,24007.490000000056,24007.490000000056,24007.490000000056,24007.490000000056,oa-Allocation for oa at age 64-219.04
2038-07-31,100000639,64,ma,inflow,2299.92,0.0,359576.3300000003,359576.3300000003,359576.3300000003,359576.3300000003,359576.3300000003,359576.3300000003,ma-Allocation for ma at age 64-2299.92
2038-07-31,100000640,64,ra,inflow,219.04,0.0,134201.46999999948,134201.46999999948,134201.46999999948,134201.46999999948,134201.46999999948,134201.46999999948,ra-Allocation for ra at age 64-219.04
2038-08-31,100000641,64,oa,inflow,219.04,0.0,24226.530000000057,24226.530000000057,24226.530000000057,24226.530000000057,24226.530000000057,24226.530000000057,oa-Allocation for oa at age 64-219.04
2038-08-31,100000642,64,ma,inflow,2299.92,0.0,361876.2500000003,361876.2500000003,361876.2500000003,361876.2500000003,361876.2500000003,361876.2500000003,ma-Allocation for ma at age 64-2299.92
2038-08-31,100000643,64,ra,inflow,219.04,0.0,134420.50999999949,134420.50999999949,134420.50999999949,134420.50999999949,134420.50999999949,134420.50999999949,ra-Allocation for ra at age 64-219.04
2038-09-30,100000644,64,oa,inflow,219.04,0.0,24445.570000000058,24445.570000000058,24445.570000000058,24445.570000000058,24445.570000000058,24445.570000000058,oa-Allocation for oa at age 64-219.04
2038-09-30,100000645,64,ma,inflow,2299.92,0.0,364176.1700000003,364176.1700000003,364176.1700000003,364176.1700000003,364176.1700000003,364176.1700000003,ma-Allocation for ma at age 64-2299.92
2038-09-30,100000646,64,ra,inflow,219.04,0.0,134639.5499999995,134639.5499999995,134639.5499999995,134639.5499999995,134639.5499999995,134639.5499999995,ra-Allocation for ra at age 64-219.04
2038-10-31,100000647,64,oa,inflow,219.04,0.0,24664.61000000006,24664.61000000006,24664.61000000006,24664.61000000006,24664.61000000006,24664.61000000006,oa-Allocation for oa at age 64-219.04
2038-10-31,100000648,64,ma,inflow,2299.92,0.0,366476.09000000026,366476.09000000026,366476.09000000026,366476.09000000026,366476.09000000026,366476.09000000026,ma-Allocation for ma at age 64-2299.92
